[INFO] (00:00:0003): compiling base_vs.hlsl, type: vs
[INFO] (00:00:0036): compiling base_ps.hlsl, type: ps
[INFO] (00:00:0059): compiling brush_grid.hlsl, type: cs
[INFO] (00:00:0070): compiling add_brush.hlsl, type: cs
[INFO] (00:08:0480): compiling base_ps.hlsl, type: ps
[INFO] (00:08:0512): re-compiled shader base_ps.hlsl successfully
[INFO] (00:18:0797): compiling base_ps.hlsl, type: ps
[INFO] (00:18:0826): re-compiled shader base_ps.hlsl successfully
[INFO] (00:22:0480): compiling base_ps.hlsl, type: ps
[INFO] (00:22:0512): re-compiled shader base_ps.hlsl successfully
[INFO] (00:24:0815): compiling base_ps.hlsl, type: ps
[INFO] (00:24:0850): re-compiled shader base_ps.hlsl successfully
[INFO] (00:26:0731): compiling base_ps.hlsl, type: ps
[INFO] (00:26:0759): re-compiled shader base_ps.hlsl successfully
[INFO] (00:29:0281): compiling base_ps.hlsl, type: ps
[INFO] (00:29:0312): re-compiled shader base_ps.hlsl successfully
[INFO] (00:32:0830): compiling base_ps.hlsl, type: ps
[INFO] (00:32:0862): re-compiled shader base_ps.hlsl successfully
[INFO] (00:35:0465): compiling base_ps.hlsl, type: ps
[INFO] (00:35:0493): re-compiled shader base_ps.hlsl successfully
[INFO] (00:41:0464): compiling base_ps.hlsl, type: ps
[INFO] (00:41:0491): re-compiled shader base_ps.hlsl successfully
[INFO] (00:51:0900): compiling base_ps.hlsl, type: ps
[INFO] (00:51:0933): re-compiled shader base_ps.hlsl successfully
[INFO] (00:56:0948): compiling base_ps.hlsl, type: ps
[INFO] (00:56:0982): re-compiled shader base_ps.hlsl successfully
[INFO] (01:11:0814): compiling base_ps.hlsl, type: ps
[INFO] (01:11:0841): re-compiled shader base_ps.hlsl successfully
[INFO] (01:35:0281): compiling base_ps.hlsl, type: ps
[INFO] (01:35:0316): re-compiled shader base_ps.hlsl successfully
[INFO] (01:40:0064): compiling base_ps.hlsl, type: ps
[INFO] (01:40:0090): re-compiled shader base_ps.hlsl successfully
[INFO] (01:43:0848): compiling base_ps.hlsl, type: ps
[INFO] (01:43:0882): re-compiled shader base_ps.hlsl successfully
[INFO] (01:59:0949): saved screenshot as screenshots/screenshot_011.png
