[INFO] (00:00:0027): compiling base_vs.hlsl, type: vs
[INFO] (00:00:0221): compiling base_ps.hlsl, type: ps
[INFO] (00:00:0252): compiling brush_grid.hlsl, type: cs
[INFO] (00:00:0263): compiling add_brush.hlsl, type: cs
[INFO] (05:12:0355): compiling base_ps.hlsl, type: ps
[INFO] (05:12:0387): re-compiled shader base_ps.hlsl successfully
[INFO] (05:13:0342): compiling base_ps.hlsl, type: ps
[INFO] (05:13:0377): re-compiled shader base_ps.hlsl successfully
[INFO] (05:19:0370): compiling base_ps.hlsl, type: ps
[INFO] (05:19:0402): re-compiled shader base_ps.hlsl successfully
[INFO] (05:21:0407): compiling base_ps.hlsl, type: ps
[INFO] (05:21:0452): re-compiled shader base_ps.hlsl successfully
[INFO] (05:23:0370): compiling base_ps.hlsl, type: ps
[INFO] (05:23:0399): re-compiled shader base_ps.hlsl successfully
[INFO] (05:25:0858): compiling base_ps.hlsl, type: ps
[INFO] (05:25:0865): re-compiled shader base_ps.hlsl successfully
[INFO] (05:27:0734): compiling base_ps.hlsl, type: ps
[INFO] (05:27:0763): re-compiled shader base_ps.hlsl successfully
[INFO] (05:32:0462): compiling base_ps.hlsl, type: ps
[INFO] (05:32:0495): re-compiled shader base_ps.hlsl successfully
[INFO] (05:40:0540): compiling base_ps.hlsl, type: ps
[INFO] (05:40:0568): re-compiled shader base_ps.hlsl successfully
[INFO] (05:43:0371): compiling base_ps.hlsl, type: ps
[INFO] (05:43:0399): re-compiled shader base_ps.hlsl successfully
[INFO] (05:45:0158): compiling base_ps.hlsl, type: ps
[ERROR](05:45:0161): couldn't compile shader base_ps.hlsl
[ERROR](05:45:0161): \\StuHomeOdd\HomeDrive1$\1902881\cmp400_honours\Shader@0x0000024A4814CB90(129,54): error X3000: syntax error: unexpected token ';'
\\StuHomeOdd\HomeDrive1$\1902881\cmp400_honours\Shader@0x0000024A4814CB90(129,18): error X3013: 'rayMarch': no matching 0 parameter function

[INFO] (05:57:0438): compiling base_ps.hlsl, type: ps
[INFO] (05:57:0465): re-compiled shader base_ps.hlsl successfully
[INFO] (06:04:0508): compiling base_ps.hlsl, type: ps
[INFO] (06:04:0549): re-compiled shader base_ps.hlsl successfully
[INFO] (12:17:0093): compiling base_ps.hlsl, type: ps
[INFO] (12:17:0125): re-compiled shader base_ps.hlsl successfully
[INFO] (12:31:0224): compiling base_ps.hlsl, type: ps
[INFO] (12:31:0258): re-compiled shader base_ps.hlsl successfully
[INFO] (12:48:0409): compiling base_ps.hlsl, type: ps
[INFO] (12:48:0428): re-compiled shader base_ps.hlsl successfully
[INFO] (12:59:0574): compiling base_ps.hlsl, type: ps
[INFO] (12:59:0609): re-compiled shader base_ps.hlsl successfully
[INFO] (13:10:0525): compiling base_ps.hlsl, type: ps
[INFO] (13:10:0553): re-compiled shader base_ps.hlsl successfully
[INFO] (13:18:0013): compiling base_ps.hlsl, type: ps
[INFO] (13:18:0043): re-compiled shader base_ps.hlsl successfully
[INFO] (13:23:0842): compiling base_ps.hlsl, type: ps
[INFO] (13:23:0879): re-compiled shader base_ps.hlsl successfully
