[INFO] (00:00:0007): compiling base_vs.hlsl, type: vs
[INFO] (00:00:0034): compiling base_ps.hlsl, type: ps
[INFO] (00:00:0043): compiling brush_grid.hlsl, type: cs
[INFO] (00:00:0050): compiling add_brush.hlsl, type: cs
[INFO] (00:00:0059): compiling edit_cs.hlsl, type: cs
[INFO] (00:00:0108): size: (34.1 34.1 17.1) tsize: (1024.0 1024.0 512.0)
[INFO] (00:00:0108): [builder] time passed: 167.100000us
[INFO] (00:10:0279): GPU TIMER (Compute): time passed: 32057052
[WARN] (00:10:0283): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0284): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0285): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0301): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0318): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0335): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0351): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0368): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0384): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0401): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0417): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0434): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0451): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0468): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0485): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0501): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0518): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0534): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0551): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0568): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0584): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0602): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0618): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0634): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0651): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0668): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0685): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0701): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:10:0718): timers are not ready yet (start: not ready, end: not ready)
